"Missingness","CensorRate","SampleSize","Criterion","Model","b1","b2","b3","b4","b5","d11","d21","d22","sigma11","sigma21","sigma22"
"MAR","10%",25,"CP","M",0.97,0.45,0.69,0.88,0.95,0.92,0.86,0.85,0.23,1,0.01
"MAR","10%",25,"CP","CM",0.91,0.96,0.89,0.95,0.93,0.9,0.93,0.93,0.95,0.99,0.94
"MAR","10%",25,"Length","M",0.7742,4.681,4.8386,0.9391,0.0108,1.1547,0.8467,1.1241,1.3654,1.1684,1.875
"MAR","10%",25,"Length","CM",0.7393,3.2155,2.9013,0.8577,0.0079,1.1229,0.8423,1.1517,0.5195,0.4459,0.6137
"MAR","10%",50,"CP","M",0.9,0.07,0.12,0.92,0.97,0.83,0.88,0.85,0,0.96,0
"MAR","10%",50,"CP","CM",0.91,0.95,0.91,0.92,0.95,0.89,0.86,0.94,0.94,0.99,0.94
"MAR","10%",50,"Length","M",0.5411,3.1974,3.2548,0.6635,0.0075,0.7948,0.5824,0.8015,0.8114,0.7244,1.191
"MAR","10%",50,"Length","CM",0.5412,2.2029,1.9414,0.5954,0.0054,0.8291,0.6007,0.7967,0.3312,0.2788,0.3592
"MAR","10%",75,"CP","M",0.94,0.03,0.07,0.91,0.98,0.9,0.94,0.9,0,0.82,0
"MAR","10%",75,"CP","CM",0.94,0.94,0.89,0.92,0.97,0.91,0.92,0.94,0.95,0.97,0.89
"MAR","10%",75,"Length","M",0.4532,2.5641,2.5871,0.5531,0.0061,0.6881,0.5086,0.6987,0.6277,0.5705,0.9425
"MAR","10%",75,"Length","CM",0.4542,1.7648,1.5441,0.5009,0.0043,0.7255,0.5187,0.6963,0.2576,0.2205,0.2795
"MAR","10%",100,"CP","M",0.9,0,0.01,0.89,0.95,0.84,0.9,0.93,0.01,0.65,0
"MAR","10%",100,"CP","CM",0.89,0.95,0.88,0.95,0.9,0.87,0.92,0.95,0.94,0.95,0.92
"MAR","10%",100,"Length","M",0.3923,2.1824,2.2111,0.4751,0.0052,0.5907,0.4389,0.5912,0.5223,0.4754,0.7875
"MAR","10%",100,"Length","CM",0.3885,1.5033,1.3356,0.4288,0.0038,0.6152,0.4458,0.5882,0.2136,0.1847,0.2328
"MAR","30%",25,"CP","M",0.85,0.46,0.59,0.95,0.95,0.57,0.86,0.87,0.97,1,0.01
"MAR","30%",25,"CP","CM",0.92,0.93,0.93,0.94,0.96,0.9,0.89,0.93,0.95,0.98,0.91
"MAR","30%",25,"Length","M",1.2962,54.3634,48.0998,1.0376,0.0139,0.9156,0.7473,1.1463,3.5308,1.2912,1.9453
"MAR","30%",25,"Length","CM",0.7576,4.606,4.3966,0.8577,0.0082,1.1597,0.8512,1.1661,0.5898,0.4621,0.6016
"MAR","30%",50,"CP","M",0.76,0,0,0.9,0.99,0.53,0.87,0.84,0.46,1,0
"MAR","30%",50,"CP","CM",0.94,0.94,0.9,0.92,0.93,0.85,0.89,0.95,0.95,1,0.93
"MAR","30%",50,"Length","M",0.5053,4.8584,5.6002,0.6711,0.0078,0.6609,0.5338,0.8224,0.7056,0.6859,1.2045
"MAR","30%",50,"Length","CM",0.5488,2.5466,2.4678,0.5981,0.0055,0.8311,0.601,0.8046,0.3495,0.2826,0.3552
"MAR","30%",75,"CP","M",0.86,0,0,0.93,0.95,0.66,0.94,0.93,0.14,1,0
"MAR","30%",75,"CP","CM",0.97,0.94,0.86,0.88,0.96,0.9,0.92,0.94,0.96,0.98,0.91
"MAR","30%",75,"Length","M",0.4294,3.7655,4.3168,0.564,0.0064,0.5785,0.4752,0.7031,0.5597,0.5515,0.9758
"MAR","30%",75,"Length","CM",0.4567,2.0356,1.9304,0.497,0.0045,0.7312,0.5203,0.705,0.2677,0.2266,0.2842
"MAR","30%",100,"CP","M",0.83,0,0,0.89,0.9,0.51,0.89,0.92,0.08,0.92,0
"MAR","30%",100,"CP","CM",0.9,0.93,0.91,0.95,0.95,0.87,0.9,0.94,0.94,0.92,0.91
"MAR","30%",100,"Length","M",0.3669,3.2678,3.7637,0.4827,0.0055,0.4978,0.405,0.5981,0.4516,0.4493,0.805
"MAR","30%",100,"Length","CM",0.3872,1.7517,1.6777,0.4296,0.0038,0.6259,0.4463,0.5937,0.2239,0.1868,0.2306
"MAR","50%",25,"CP","M",0.39,0.74,0.74,0.94,0.98,0.2,0.7,0.86,0.87,0.95,0
"MAR","50%",25,"CP","CM",0.83,0.96,0.92,0.84,0.86,0.81,0.91,0.92,0.95,0.95,0.97
"MAR","50%",25,"Length","M",1.2631,219.6428,122.5253,1.2199,0.0182,0.7316,0.6351,1.1066,7.077,1.4842,1.9904
"MAR","50%",25,"Length","CM",0.8597,16.2501,12.5405,0.9067,0.0095,1.3393,0.8848,1.1085,1.5205,0.6683,0.6476
"MAR","50%",50,"CP","M",0.01,0.65,0.66,0.95,0.94,0.21,0.74,0.95,0.74,0.99,0
