"Mean","SD","2.5%","97.5%","Mean","SD","2.5%","97.5%"
"beta1",3.422,0.654,2.117,4.619,2.858,0.841,1.273,4.588
"beta2",0.313,0.87,-1.471,1.996,1.708,1.136,-0.55,3.878
"beta3",-0.097,0.05,-0.195,-0.002,-0.086,0.075,-0.235,0.064
"beta4",-0.012,0.069,-0.149,0.127,0.109,0.101,-0.083,0.3
"beta5",15.837,3.086,10.013,21.857,14.94,3.236,8.651,21.246
"beta6",-3.248,1.29,-5.772,-0.817,-2.923,1.388,-5.569,-0.268
"beta7",-0.093,1.336,-2.557,2.56,-1.479,1.469,-4.357,1.12
"beta8",0.373,0.582,-0.791,1.448,0.928,0.665,-0.223,2.215
"beta9",0.316,0.047,0.224,0.403,0.31,0.044,0.224,0.4
"beta10",0.14,0.063,0.019,0.267,0.15,0.062,0.031,0.272
"beta11",0.002,0.001,0,0.004,0.002,0.001,-0.001,0.005
"beta12",-0.002,0.003,-0.008,0.004,-0.002,0.002,-0.006,0.002
"d11",2.337,0.579,1.449,3.743,5.345,1.46,3.107,8.655
"d21",0.24,0.062,0.147,0.392,0.453,0.146,0.238,0.78
"d22",0.031,0.007,0.02,0.049,0.076,0.02,0.045,0.124
"d31",1.227,0.396,0.599,2.143,1.765,0.593,0.847,3.091
"d32",0.052,0.039,-0.017,0.134,0.005,0.054,-0.098,0.109
"d33",1.484,0.383,0.9,2.393,1.16,0.323,0.661,1.922
"d41",0.098,0.111,-0.105,0.329,-0.242,0.11,-0.509,-0.057
"d42",0.001,0.013,-0.025,0.026,-0.049,0.015,-0.084,-0.025
"d43",0.173,0.097,0.003,0.386,0.031,0.047,-0.067,0.132
"d44",0.168,0.045,0.099,0.278,0.054,0.014,0.032,0.086
"d51",0.088,0.056,-0.015,0.209,0.111,0.087,-0.047,0.283
"d52",0.012,0.007,0,0.027,0.031,0.011,0.012,0.056
"d53",0.035,0.044,-0.044,0.126,-0.036,0.041,-0.126,0.039
"d54",0.06,0.019,0.031,0.103,-0.011,0.009,-0.031,0.006
"d55",0.046,0.011,0.03,0.072,0.043,0.01,0.027,0.065
"d61",0.003,0.001,0.001,0.005,0.003,0.002,0.001,0.007
"d62",4.97,1.261,3.028,7.949,8.305,2.265,4.778,13.371
"d63",-6.405,7.063,-22.206,5.986,-10.458,6.74,-26.001,1.347
"d64",-2.478,2.385,-7.294,1.805,-6.711,1.85,-10.729,-3.77
"d65",1.108,1.188,-1.184,3.716,2.425,1.322,-0.011,5.313
"d66",0.1,0.025,0.062,0.157,0.11,0.028,0.067,0.175
"sig11",0.844,0.217,0.493,1.355,0.59,0.155,0.388,0.973
"sig21",-0.037,0.014,-0.069,-0.013,-0.022,0.01,-0.048,-0.005
"sig22",0.033,0.004,0.025,0.041,0.016,0.003,0.012,0.023
"omega1",0,0.004,0,0,0.072,0.048,0.004,0.178
"omega2",0.472,0.36,0.143,1.503,1,0,1,1
