,0,14,28,56,84,112,140,168
A.RNA.Mean,3.7732,2.7677,2.9877,1.9824,1.8567,1.8891,2.225,2.5435
A.RNA.SD,0.7841,0.6716,1.2567,0.6198,0.427,0.9137,0.9765,1.3748
A.censor,0,0,15.3846,40,33.3333,65.2174,41.6667,35.4839
A.CD4CD8.Mean,0.2904,0.3663,0.3025,0.3273,0.3295,0.3174,0.3972,0.3595
A.CD4CD8.SD,0.1328,0.1709,0.1703,0.1302,0.1166,0.1137,0.1413,0.1867
A.CD4CD8.na,0,58.9744,7.6923,8,0,0,0,0
B.RNA.Mean,3.7495,2.8709,2.37,1.9876,1.94,2.3278,2.4706,2.4274
B.RNA.SD,0.7303,0.812,0.6024,0.5127,0.9428,1.2424,1.6104,1.5992
B.censor,0,2.9412,21.7391,33.3333,50,50,62.5,66.6667
B.CD4CD8.Mean,0.3979,0.5621,0.4915,0.4112,0.521,0.4057,0.538,0.4533
B.CD4CD8.SD,0.2333,0.4896,0.2858,0.301,0.3679,0.2161,0.3877,0.29
B.CD4CD8.na,0,58.8235,4.3478,0,0,0,6.25,3.7037
